ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,bimonthly,bimonthly_lower,bimonthly_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2017-01-01,855.9534936769794,-333.7577942371828,2351.836219779922,855.9534936769794,855.9534936769794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014433756506456726,-0.014433756506456726,-0.014433756506456726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05753862368513397,0.05753862368513397,0.05753862368513397,-0.014433756506456726,-0.014433756506456726,-0.014433756506456726,0.17025140583394507,0.17025140583394507,0.17025140583394507,0.12714653865526782,0.12714653865526782,0.12714653865526782,0.0,0.0,0.0,1001.6807793039619
2017-01-02,862.708879907855,-392.47475741406805,2413.458760668882,862.708879907855,862.708879907855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.036896344454732e-06,-3.036896344454732e-06,-3.036896344454732e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06937764071516785,0.06937764071516785,0.06937764071516785,-3.036896344454732e-06,-3.036896344454732e-06,-3.036896344454732e-06,0.19192561540421657,0.19192561540421657,0.19192561540421657,0.12255101158539318,0.12255101158539318,0.12255101158539318,0.0,0.0,0.0,1028.2848125988526
2017-01-03,869.4642661387305,-245.08338130903354,2436.658053675427,869.4642661387305,869.4642661387305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07845774933107053,0.07845774933107053,0.07845774933107053,0.0,0.0,0.0,0.19608615953535052,0.19608615953535052,0.19608615953535052,0.11762841020427998,0.11762841020427998,0.11762841020427998,0.0,0.0,0.0,1039.954174939096
2017-01-04,876.2196523696063,-328.0881072788579,2400.9911115305827,876.2196523696063,876.2196523696063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08338978486319111,0.08338978486319111,0.08338978486319111,0.0,0.0,0.0,0.1957776381818038,0.1957776381818038,0.1957776381818038,0.11238785331861269,0.11238785331861269,0.11238785331861269,0.0,0.0,0.0,1047.7638664390088
2017-01-05,882.9750386004819,-364.59440680304056,2476.1943506115817,882.9750386004819,882.9750386004819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0832910992520779,0.0832910992520779,0.0832910992520779,0.0,0.0,0.0,0.19013016925470833,0.19013016925470833,0.19013016925470833,0.10683907000263043,0.10683907000263043,0.10683907000263043,0.0,0.0,0.0,1050.8552321372742
2017-01-06,889.7304248313574,-224.17660744802467,2331.83680768006,889.7304248313574,889.7304248313574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07794247300771301,0.07794247300771301,0.07794247300771301,0.0,0.0,0.0,0.17893484982497995,0.17893484982497995,0.17893484982497995,0.10099237681726696,0.10099237681726696,0.10099237681726696,0.0,0.0,0.0,1048.9342047832718
2017-01-07,896.4858110622331,-289.8556607886404,2364.9331816476347,896.4858110622331,896.4858110622331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678352706605667,0.0678352706605667,0.0678352706605667,0.0,0.0,0.0,0.16269392447353645,0.16269392447353645,0.16269392447353645,0.09485865381296975,0.09485865381296975,0.09485865381296975,0.0,0.0,0.0,1042.338605898789
2017-01-08,903.2411972931087,-212.98997264732995,2373.552985672773,903.2411972931087,903.2411972931087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054095552983252235,0.054095552983252235,0.054095552983252235,0.0,0.0,0.0,0.1425448723602549,0.1425448723602549,0.1425448723602549,0.08844931937700265,0.08844931937700265,0.08844931937700265,0.0,0.0,0.0,1031.9935984717788
2017-01-09,909.9965835239842,-332.68751299469784,2402.651409904634,909.9965835239842,909.9965835239842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03829612465745959,0.03829612465745959,0.03829612465745959,0.0,0.0,0.0,0.12007242864515134,0.12007242864515134,0.12007242864515134,0.08177630398769176,0.08177630398769176,0.08177630398769176,0.0,0.0,0.0,1019.2620833664993
2017-01-10,916.7519697548598,-335.60892303470274,2363.167925915753,916.7519697548598,916.7519697548598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022190363207429172,0.022190363207429172,0.022190363207429172,0.0,0.0,0.0,0.09704238614893893,0.09704238614893893,0.09704238614893893,0.07485202294150974,0.07485202294150974,0.07485202294150974,0.0,0.0,0.0,1005.7157684066112
